DATE,COUNTRY,CITY,VALUE
16-07-2019,IN,Bengaluru,69
17-07-2019,IN,Bengaluru,72
18-07-2019,IN,Bengaluru,78
19-07-2019,IN,Bengaluru,59
20-07-2019,IN,Bengaluru,48
21-07-2019,IN,Bengaluru,46
22-07-2019,IN,Bengaluru,53
23-07-2019,IN,Bengaluru,58
24-07-2019,IN,Bengaluru,61
25-07-2019,IN,Bengaluru,64
26-07-2019,IN,Bengaluru,61
27-07-2019,IN,Bengaluru,62
28-07-2019,IN,Bengaluru,61
29-07-2019,IN,Bengaluru,59
30-07-2019,IN,Bengaluru,61
31-07-2019,IN,Bengaluru,61
01-08-2019,IN,Bengaluru,152
02-08-2019,IN,Bengaluru,137
03-08-2019,IN,Bengaluru,142
04-08-2019,IN,Bengaluru,102
05-08-2019,IN,Bengaluru,85
06-08-2019,IN,Bengaluru,78
07-08-2019,IN,Bengaluru,51
08-08-2019,IN,Bengaluru,51
09-08-2019,IN,Bengaluru,50
10-08-2019,IN,Bengaluru,69
11-08-2019,IN,Bengaluru,156
12-08-2019,IN,Bengaluru,72
13-08-2019,IN,Bengaluru,55
14-08-2019,IN,Bengaluru,59
15-08-2019,IN,Bengaluru,53
16-08-2019,IN,Bengaluru,53
17-08-2019,IN,Bengaluru,61
18-08-2019,IN,Bengaluru,72
19-08-2019,IN,Bengaluru,62
20-08-2019,IN,Bengaluru,60
21-08-2019,IN,Bengaluru,58
22-08-2019,IN,Bengaluru,60
23-08-2019,IN,Bengaluru,55
24-08-2019,IN,Bengaluru,55
25-08-2019,IN,Bengaluru,53
26-08-2019,IN,Bengaluru,54
27-08-2019,IN,Bengaluru,36
28-08-2019,IN,Bengaluru,47
29-08-2019,IN,Bengaluru,52
30-08-2019,IN,Bengaluru,47
31-08-2019,IN,Bengaluru,59
01-09-2019,IN,Bengaluru,152
02-09-2019,IN,Bengaluru,155
03-09-2019,IN,Bengaluru,136
04-09-2019,IN,Bengaluru,107
05-09-2019,IN,Bengaluru,90
06-09-2019,IN,Bengaluru,56
07-09-2019,IN,Bengaluru,46
08-09-2019,IN,Bengaluru,46
09-09-2019,IN,Bengaluru,49
10-09-2019,IN,Bengaluru,82
11-09-2019,IN,Bengaluru,124
12-09-2019,IN,Bengaluru,62
13-09-2019,IN,Bengaluru,61
14-09-2019,IN,Bengaluru,62
15-09-2019,IN,Bengaluru,62
16-09-2019,IN,Bengaluru,54
17-09-2019,IN,Bengaluru,59
18-09-2019,IN,Bengaluru,65
19-09-2019,IN,Bengaluru,70
20-09-2019,IN,Bengaluru,61
21-09-2019,IN,Bengaluru,70
22-09-2019,IN,Bengaluru,59
23-09-2019,IN,Bengaluru,72
24-09-2019,IN,Bengaluru,53
25-09-2019,IN,Bengaluru,52
26-09-2019,IN,Bengaluru,55
27-09-2019,IN,Bengaluru,83
28-09-2019,IN,Bengaluru,73
29-09-2019,IN,Bengaluru,95
30-09-2019,IN,Bengaluru,68
30-09-2019,IN,Bengaluru,68
01-10-2019,IN,Bengaluru,154
02-10-2019,IN,Bengaluru,129
03-10-2019,IN,Bengaluru,99
04-10-2019,IN,Bengaluru,132
05-10-2019,IN,Bengaluru,98
06-10-2019,IN,Bengaluru,25
07-10-2019,IN,Bengaluru,54
08-10-2019,IN,Bengaluru,45
09-10-2019,IN,Bengaluru,61
10-10-2019,IN,Bengaluru,96
11-10-2019,IN,Bengaluru,145
12-10-2019,IN,Bengaluru,65
13-10-2019,IN,Bengaluru,61
14-10-2019,IN,Bengaluru,59
15-10-2019,IN,Bengaluru,69
16-10-2019,IN,Bengaluru,64
17-10-2019,IN,Bengaluru,59
18-10-2019,IN,Bengaluru,61
19-10-2019,IN,Bengaluru,55
20-10-2019,IN,Bengaluru,58
21-10-2019,IN,Bengaluru,58
22-10-2019,IN,Bengaluru,52
23-10-2019,IN,Bengaluru,39
24-10-2019,IN,Bengaluru,41
25-10-2019,IN,Bengaluru,50
26-10-2019,IN,Bengaluru,58
27-10-2019,IN,Bengaluru,80
28-10-2019,IN,Bengaluru,86
29-10-2019,IN,Bengaluru,77
30-10-2019,IN,Bengaluru,61
31-10-2019,IN,Bengaluru,59
01-11-2019,IN,Bengaluru,151
02-11-2019,IN,Bengaluru,117
03-11-2019,IN,Bengaluru,93
04-11-2019,IN,Bengaluru,122
05-11-2019,IN,Bengaluru,102
06-11-2019,IN,Bengaluru,31
07-11-2019,IN,Bengaluru,64
08-11-2019,IN,Bengaluru,44
09-11-2019,IN,Bengaluru,59
10-11-2019,IN,Bengaluru,116
11-11-2019,IN,Bengaluru,153
12-11-2019,IN,Bengaluru,78
13-11-2019,IN,Bengaluru,85
14-11-2019,IN,Bengaluru,73
15-11-2019,IN,Bengaluru,76
16-11-2019,IN,Bengaluru,69
17-11-2019,IN,Bengaluru,86
18-11-2019,IN,Bengaluru,82
19-11-2019,IN,Bengaluru,65
20-11-2019,IN,Bengaluru,69
21-11-2019,IN,Bengaluru,118
22-11-2019,IN,Bengaluru,113
23-11-2019,IN,Bengaluru,95
24-11-2019,IN,Bengaluru,109
25-11-2019,IN,Bengaluru,112
26-11-2019,IN,Bengaluru,100
27-11-2019,IN,Bengaluru,95
28-11-2019,IN,Bengaluru,72
29-11-2019,IN,Bengaluru,65
30-11-2019,IN,Bengaluru,66
01-12-2019,IN,Bengaluru,158
02-12-2019,IN,Bengaluru,129
03-12-2019,IN,Bengaluru,127
04-12-2019,IN,Bengaluru,110
05-12-2019,IN,Bengaluru,91
06-12-2019,IN,Bengaluru,38
07-12-2019,IN,Bengaluru,60
08-12-2019,IN,Bengaluru,55
09-12-2019,IN,Bengaluru,60
10-12-2019,IN,Bengaluru,99
11-12-2019,IN,Bengaluru,83
12-12-2019,IN,Bengaluru,80
13-12-2019,IN,Bengaluru,84
14-12-2019,IN,Bengaluru,72
15-12-2019,IN,Bengaluru,84
16-12-2019,IN,Bengaluru,71
17-12-2019,IN,Bengaluru,82
18-12-2019,IN,Bengaluru,112
19-12-2019,IN,Bengaluru,100
20-12-2019,IN,Bengaluru,115
21-12-2019,IN,Bengaluru,132
22-12-2019,IN,Bengaluru,127
23-12-2019,IN,Bengaluru,129
24-12-2019,IN,Bengaluru,97
25-12-2019,IN,Bengaluru,96
26-12-2019,IN,Bengaluru,119
27-12-2019,IN,Bengaluru,112
28-12-2019,IN,Bengaluru,95
29-12-2019,IN,Bengaluru,102
30-12-2019,IN,Bengaluru,109
30-12-2019,IN,Bengaluru,109
31-12-2019,IN,Bengaluru,120
31-12-2019,IN,Bengaluru,120
01-01-2020,IN,Bengaluru,89
01-01-2020,IN,Bengaluru,89
02-01-2020,IN,Bengaluru,133
03-01-2020,IN,Bengaluru,108
04-01-2020,IN,Bengaluru,74
04-01-2020,IN,Bengaluru,74
05-01-2020,IN,Bengaluru,75
06-01-2020,IN,Bengaluru,35
07-01-2020,IN,Bengaluru,62
07-01-2020,IN,Bengaluru,62
08-01-2020,IN,Bengaluru,58
09-01-2020,IN,Bengaluru,71
